Pieces,Price,Pages,Unique_Pieces,gender
95.0,7.99,40.0,52.0,girl
69.0,9.99,28.0,36.0,girl
85.0,7.99,36.0,41.0,girl
93.0,7.99,40.0,48.0,girl
92.0,9.99,36.0,52.0,neutral
101.0,9.99,56.0,65.0,girl
49.0,9.99,3.0,31.0,boy
47.0,9.99,3.0,28.0,boy
8.0,9.99,10.0,7.0,neutral
18.0,9.99,12.0,15.0,neutral
50.0,9.99,28.0,35.0,girl
64.0,9.99,28.0,45.0,neutral
55.0,9.99,32.0,34.0,neutral
54.0,9.99,36.0,45.0,neutral
88.0,9.99,36.0,50.0,neutral
62.0,9.99,36.0,34.0,neutral
52.0,9.99,36.0,32.0,boy
97.0,9.99,40.0,60.0,girl
57.0,9.99,40.0,41.0,girl
67.0,9.99,40.0,48.0,neutral
86.0,9.99,40.0,44.0,boy
89.0,9.99,48.0,55.0,neutral
74.0,9.99,52.0,55.0,neutral
84.0,9.99,56.0,52.0,neutral
84.0,9.99,56.0,49.0,neutral
127.0,9.99,60.0,61.0,boy
126.0,9.99,60.0,83.0,girl
41.0,9.99,37.0,30.0,neutral
92.0,9.99,48.0,61.0,girl
62.0,9.99,28.0,35.0,girl
48.0,9.99,3.0,28.0,boy
46.0,9.99,36.0,39.0,girl
74.0,9.99,40.0,48.0,neutral
72.0,9.99,40.0,40.0,boy
152.0,9.99,56.0,62.0,boy
148.0,9.99,64.0,61.0,boy
152.0,9.99,68.0,62.0,boy
54.0,9.99,44.0,41.0,boy
89.0,9.99,7.0,49.0,boy
70.0,9.99,28.0,47.0,neutral
76.0,9.99,36.0,50.0,neutral
85.0,7.99,32.0,38.0,girl
198.0,14.99,60.0,81.0,boy
219.0,14.99,64.0,92.0,boy
180.0,14.99,80.0,75.0,boy
105.0,14.99,40.0,51.0,boy
102.0,14.99,44.0,59.0,boy
17.0,14.99,2.0,16.0,neutral
159.0,19.99,80.0,79.0,boy
50.0,6.99,28.0,30.0,neutral
72.0,9.99,44.0,37.0,boy
86.0,7.99,36.0,45.0,girl
16.0,14.99,2.0,16.0,neutral
85.0,7.99,32.0,36.0,girl
83.0,7.99,36.0,46.0,girl
92.0,14.99,48.0,54.0,boy
154.0,14.99,48.0,71.0,boy
115.0,19.99,48.0,82.0,neutral
198.0,14.99,56.0,72.0,boy
70.0,9.99,44.0,34.0,boy
37.0,9.99,5.0,31.0,girl
122.0,9.99,40.0,65.0,boy
196.0,19.99,80.0,104.0,neutral
214.0,19.99,80.0,119.0,girl
124.0,19.99,3.0,72.0,neutral
21.0,19.99,8.0,19.0,girl
98.0,19.99,44.0,56.0,girl
121.0,19.99,48.0,55.0,neutral
93.0,19.99,48.0,62.0,boy
167.0,19.99,52.0,75.0,boy
212.0,19.99,56.0,97.0,boy
184.0,19.99,56.0,102.0,neutral
118.0,19.99,64.0,66.0,girl
189.0,19.99,68.0,103.0,boy
198.0,19.99,72.0,90.0,neutral
222.0,19.99,72.0,91.0,neutral
126.0,19.99,84.0,81.0,neutral
226.0,19.99,104.0,97.0,boy
197.0,19.99,60.0,81.0,neutral
108.0,19.99,64.0,61.0,girl
148.0,19.99,64.0,81.0,neutral
174.0,14.99,84.0,100.0,neutral
90.0,19.99,40.0,52.0,neutral
133.0,19.99,3.0,71.0,girl
105.0,19.99,3.0,61.0,girl
111.0,19.99,3.0,71.0,girl
88.0,9.99,36.0,61.0,neutral
49.0,9.99,24.0,35.0,girl
103.0,19.99,68.0,70.0,girl
173.0,19.99,72.0,85.0,girl
241.0,19.99,84.0,88.0,neutral
